gene_id	SRR1146118	SRR1146248	SRR1146121	SRR1146114	SRR1146126	SRR1146169	SRR1146099	SRR1146202	SRR1146128	SRR1146162	SRR1146100	SRR1146083	SRR1146208	SRR1146210
ENSG00000000003	0	3	1	2	1	1	3	2	1	0	0	2	0	1
ENSG00000000005	14	17	17	17	7	9	22	12	20	7	25	8	16	5
ENSG00000000419	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000457	1	0	4	8	0	6	5	3	0	0	3	2	0	2
ENSG00000000460	18	10	18	19	10	9	19	17	8	9	9	5	9	7
ENSG00000000938	30	74	32	40	20	53	18	14	25	45	17	15	21	30
ENSG00000000971	2	1	5	8	0	6	1	5	1	0	0	1	0	1
ENSG00000001036	2	0	1	1	4	0	6	0	1	4	1	3	1	2
ENSG00000001084	4	2	9	10	4	0	5	2	8	4	0	3	3	1
ENSG00000001167	1	0	1	1	2	1	0	0	2	0	0	0	1	1
ENSG00000001460	4	19	14	7	2	6	2	4	3	5	9	4	7	9
ENSG00000001461	19	113	56	29	33	51	44	23	58	64	74	19	71	31
ENSG00000001497	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001561	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSG00000001617	31	43	42	39	23	22	12	16	36	20	33	47	12	14
ENSG00000001626	0	0	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000001629	2	0	3	5	0	1	0	0	1	0	0	0	0	0
ENSG00000001630	3	2	6	10	5	3	6	4	1	3	4	5	1	2
ENSG00000001631	137	122	139	175	64	124	100	134	101	124	119	134	127	84
ENSG00000002016	1	0	5	3	1	1	2	6	1	2	0	0	2	3
ENSG00000002079	17	19	46	62	12	22	21	16	18	5	11	19	3	8
ENSG00000002330	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002549	109	82	83	73	54	119	153	171	163	298	171	137	186	179
ENSG00000002586	70	64	67	70	22	50	72	51	50	26	29	60	30	29
ENSG00000002587	3	1	4	2	2	1	6	6	5	4	5	1	3	4
ENSG00000002726	0	1	0	1	0	1	2	0	4	5	3	3	1	4
ENSG00000002745	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002746	1	2	2	0	0	0	1	1	1	0	1	0	0	0
ENSG00000002822	0	0	3	2	2	2	2	0	3	1	1	0	0	0
ENSG00000002834	0	0	0	0	0	0	1	0	0	0	0	1	0	0
ENSG00000002919	0	0	0	0	1	0	0	0	0	0	0	0	0	0
